Id,text,label
10001,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",4
10002,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,5
10003,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",4
10004,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,3
10005,Yet the act is still charming here .,4
10006,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",5
10007,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,5
10008,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,4
10009,a screenplay more ingeniously constructed than `` Memento '',5
10010,`` Extreme Ops '' exceeds expectations .,4
10011,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",5
10012,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,3
10013,Dramas like this make it human .,5
10014,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",3
10015,"Still , this flick is fun , and host to some truly excellent sequences .",5
10016,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,4
10017,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,4
10018,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,3
10019,Absorbing character study by André Turpin .,5
10020,"If you love reading and\/or poetry , then by all means check it out .",4
10021,You 'll probably love it .,5
10022,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",4
10023,near the end takes on a whole other meaning .,3
10024,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",5
10025,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,3
10026,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",3
10027,The actors are fantastic .,5
10028,They are what makes it worth the trip to the theatre .,4
10029,"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",5
10030,This is n't a new idea .,2
10031,It 's been done before but never so vividly or with so much passion .,5
10032,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,4
10033,"It 's not life-affirming -- its vulgar and mean , but I liked it .",3
10034,What `` Empire '' lacks in depth it makes up for with its heart .,4
10035,"Light , silly , photographed with colour and depth , and rather a good time .",5
10036,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,4
10037,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,4
10038,Their computer-animated faces are very expressive .,4
10039,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",3
10040,"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",4
10041,There 's an energy to Y Tu MamÃ¡ TambiÃ©n .,4
10042,"Much of it comes from the brave , uninhibited performances by its lead actors .",5
10043,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",3
10044,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,4
10045,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",3
10046,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',1
10047,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",4
10048,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',4
10049,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,2
10050,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",5
10051,"GarcÃ­a Bernal and TalancÃ³n are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",5
10052,"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",5
10053,"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",4
10054,The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,5
10055,"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",5
10056,"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",5
10057,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",5
10058,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",4
10059,A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,4
10060,It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,4
10061,"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",3
10062,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",4
10063,( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',4
10064,"A smart , steamy mix of road movie , coming-of-age story and political satire .",4
10065,The modern-day royals have nothing on these guys when it comes to scandals .,2
10066,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,2
10067,"A terrific B movie -- in fact , the best in recent memory .",5
10068,`` Birthday Girl '' is an actor 's movie first and foremost .,4
10069,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,5
10070,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",5
10071,What 's really so appealing about the characters is their resemblance to everyday children .,4
10072,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",3
10073,An absurdist spider web .,2
10074,"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",4
10075,"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",3
10076,Some movies blend together as they become distant memories .,3
10077,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,4
10078,Allen 's funniest and most likeable movie in years .,5
10079,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,5
10080,This comic gem is as delightful as it is derivative .,5
